Leading Cancer Sites,Year,State,Mortality-Incidence Age-Adjusted Rate Ratio,"Mortality Age-Adjusted Rate (per 100,000)","Incidence Age-Adjusted Rate (per 100,000)"
Ovary,2015,Montana,0.601,6.989,11.633
Ovary,2015,Nebraska,0.617,6.861,11.116
Ovary,2015,Nevada,0.687,7.223,10.52
Ovary,2015,New Hampshire,0.738,7.047,9.55
Ovary,2015,New Jersey,0.542,6.673,12.303
Ovary,2015,New Mexico,0.678,8.751,12.899
Ovary,2015,New York,0.574,6.955,12.119
Ovary,2015,North Carolina,0.558,6.083,10.909
Ovary,2015,North Dakota,0.771,7.737,10.034
Ovary,2015,Ohio,0.588,6.613,11.251
Ovary,2015,Oklahoma,0.6,6.425,10.709
Ovary,2015,Oregon,0.75,8.677,11.563
Ovary,2015,Pennsylvania,0.607,7.061,11.628
Ovary,2015,Rhode Island,0.6,6.58,10.967
Ovary,2015,South Carolina,0.652,6.242,9.577
Ovary,2015,South Dakota,0.489,4.805,9.823
Ovary,2015,Tennessee,0.706,7.641,10.822
Ovary,2015,Texas,0.558,6.018,10.784
Ovary,2015,Utah,0.666,7.897,11.855
Ovary,2015,Vermont,0.621,7.202,11.589
Ovary,2015,Virginia,0.605,6.66,11.016
Ovary,2015,Washington,0.727,8.231,11.322
Ovary,2015,West Virginia,0.55,6.944,12.633
Ovary,2015,Wisconsin,0.613,7.148,11.659
Ovary,2015,Wyoming,0.529,6.424,12.133
Ovary,2016,Alabama,0.637,7.291,11.447
Ovary,2016,Alaska,0.655,6.197,9.457
Ovary,2016,Arizona,0.674,6.974,10.353
Ovary,2016,Arkansas,0.623,5.965,9.568
Ovary,2016,California,0.663,7.092,10.691
Ovary,2016,Colorado,0.654,6.247,9.552
Ovary,2016,Connecticut,0.758,6.701,8.838
Ovary,2016,Delaware,0.479,5.334,11.134
Ovary,2016,District of Columbia,0.602,5.681,9.431
Ovary,2016,Florida,0.581,6.26,10.779
Ovary,2016,Georgia,0.62,6.538,10.538
Ovary,2016,Hawaii,0.561,5.117,9.125
Ovary,2016,Idaho,0.785,8.812,11.231
Ovary,2016,Illinois,0.691,7.394,10.694
Ovary,2016,Indiana,0.744,7.023,9.44
Ovary,2016,Iowa,0.775,7.377,9.525
Ovary,2016,Kansas,0.638,6.738,10.559
Ovary,2016,Kentucky,0.612,6.339,10.363
Ovary,2016,Louisiana,0.743,5.847,7.869
Ovary,2016,Maine,0.94,7.342,7.808
Ovary,2016,Maryland,0.639,6.832,10.696
Ovary,2016,Massachusetts,0.796,6.725,8.453
Ovary,2016,Michigan,0.686,7.124,10.388
Ovary,2016,Minnesota,0.618,5.829,9.434
Ovary,2016,Mississippi,0.845,6.32,7.479
Ovary,2016,Missouri,0.702,6.144,8.752
Ovary,2016,Montana,0.55,7.2,13.086
Ovary,2016,Nebraska,0.803,6.432,8.006
Ovary,2016,Nevada,0.771,7.481,9.7
Ovary,2016,New Hampshire,0.782,6.792,8.681
Ovary,2016,New Jersey,0.542,6.364,11.732
Ovary,2016,New Mexico,0.83,7.826,9.432
Ovary,2016,New York,0.579,6.666,11.506
Ovary,2016,North Carolina,0.603,6.356,10.541
Ovary,2016,North Dakota,0.644,5.82,9.032
Ovary,2016,Ohio,0.822,7.781,9.468
Ovary,2016,Oklahoma,0.602,6.8,11.296
Ovary,2016,Oregon,0.724,7.88,10.89
Ovary,2016,Pennsylvania,0.584,6.847,11.721
Ovary,2016,Rhode Island,0.646,5.052,7.826
Ovary,2016,South Carolina,0.687,6.204,9.026
Ovary,2016,South Dakota,0.601,6.62,11.012
Ovary,2016,Tennessee,0.72,7.366,10.232
Ovary,2016,Texas,0.611,6.365,10.424
Ovary,2016,Utah,0.746,7.262,9.733
Ovary,2016,Vermont,0.696,5.139,7.383
Ovary,2016,Virginia,0.687,6.734,9.796
Ovary,2016,Washington,0.76,7.454,9.803
Ovary,2016,West Virginia,0.641,7.132,11.121
Ovary,2016,Wisconsin,0.662,7.086,10.71
Ovary,2016,Wyoming,0.596,5.708,9.584
Pancreas,1999,Alabama,1.041 (Unreliable),11.68,11.218
Pancreas,1999,Alaska,1.102 (Unreliable),14.952,13.562
Pancreas,1999,Arizona,1.034 (Unreliable),9.121,8.819
Pancreas,1999,California,0.949,9.871,10.401
Pancreas,1999,Colorado,1.043 (Unreliable),10.201,9.782
Pancreas,1999,Connecticut,0.954,11.261,11.802
Pancreas,1999,Delaware,0.985,11.578,11.749
Pancreas,1999,District of Columbia,0.919,13.47,14.65
Pancreas,1999,Florida,0.878,9.765,11.116
Pancreas,1999,Georgia,1.108 (Unreliable),11.569,10.446
Pancreas,1999,Hawaii,0.941,10.984,11.677
Pancreas,1999,Idaho,0.926,10.621,11.464
Pancreas,1999,Illinois,0.941,11.35,12.063
Pancreas,1999,Indiana,0.93,10.253,11.028
Pancreas,1999,Iowa,0.926,9.033,9.752
Pancreas,1999,Kansas,1.143 (Unreliable),10.991,9.619
Pancreas,1999,Kentucky,0.954,10.173,10.664
Pancreas,1999,Louisiana,1.007 (Unreliable),12.585,12.494
Pancreas,1999,Maine,0.942,11.593,12.306
Pancreas,1999,Maryland,1.053 (Unreliable),11.531,10.947
Pancreas,1999,Massachusetts,0.932,11.036,11.843
Pancreas,1999,Michigan,0.907,10.794,11.896
Pancreas,1999,Minnesota,1.249 (Unreliable),10.487,8.396
Pancreas,1999,Missouri,0.909,10.696,11.768
Pancreas,1999,Montana,0.906,9.297,10.263
Pancreas,1999,Nebraska,0.934,9.565,10.24
Pancreas,1999,Nevada,1.016 (Unreliable),10.285,10.119
Pancreas,1999,New Hampshire,0.941,10.908,11.588
Pancreas,1999,New Jersey,0.935,11.676,12.487
Pancreas,1999,New Mexico,0.892,9.854,11.052
Pancreas,1999,New York,0.901,11.542,12.815
Pancreas,1999,North Carolina,1.025 (Unreliable),10.563,10.304
Pancreas,1999,North Dakota,1.087 (Unreliable),9.247,8.504
Pancreas,1999,Ohio,0.952,10.063,10.567
Pancreas,1999,Oklahoma,1.031 (Unreliable),10.979,10.647
Pancreas,1999,Oregon,0.935,10.909,11.664
Pancreas,1999,Pennsylvania,0.964,10.848,11.249
Pancreas,1999,Rhode Island,1.049 (Unreliable),10.902,10.393
Pancreas,1999,South Carolina,1.077 (Unreliable),11.82,10.971
Pancreas,1999,Tennessee,1.380 (Unreliable),10.635,7.707
Pancreas,1999,Texas,0.971,10.049,10.344
Pancreas,1999,Utah,0.87,8.009,9.204
Pancreas,1999,Vermont,1.109 (Unreliable),13.023,11.742
Pancreas,1999,Virginia,1.300 (Unreliable),11.007,8.465
Pancreas,1999,Washington,0.903,10.458,11.582
Pancreas,1999,West Virginia,0.981,8.45,8.615
Pancreas,1999,Wisconsin,0.891,10.47,11.749
Pancreas,1999,Wyoming,0.99,12.061,12.189
Pancreas,2000,Alabama,1.050 (Unreliable),10.985,10.466
Pancreas,2000,Alaska,0.765,8.014,10.478
Pancreas,2000,Arizona,0.98,9.218,9.404
Pancreas,2000,California,0.913,9.926,10.868
Pancreas,2000,Colorado,0.86,9.007,10.47
Pancreas,2000,Connecticut,0.912,10.512,11.533
Pancreas,2000,Delaware,0.882,10.93,12.391
Pancreas,2000,District of Columbia,0.836,11.947,14.286
Pancreas,2000,Florida,0.88,10.061,11.428
Pancreas,2000,Georgia,1.009 (Unreliable),10.642,10.548
Pancreas,2000,Hawaii,0.833,10.54,12.653
Pancreas,2000,Idaho,1.044 (Unreliable),9.333,8.941
Pancreas,2000,Illinois,0.912,11.298,12.386
Pancreas,2000,Indiana,0.954,10.671,11.192
Pancreas,2000,Iowa,0.947,10.743,11.345
Pancreas,2000,Kansas,1.003 (Unreliable),9.684,9.652
Pancreas,2000,Kentucky,0.983,9.508,9.675
Pancreas,2000,Louisiana,0.958,12.729,13.286
Pancreas,2000,Maine,0.962,11.449,11.898
Pancreas,2000,Maryland,0.912,10.114,11.093
Pancreas,2000,Massachusetts,1.005 (Unreliable),11.665,11.612
Pancreas,2000,Michigan,0.937,10.808,11.539
Pancreas,2000,Minnesota,1.108 (Unreliable),10.617,9.581
Pancreas,2000,Missouri,0.978,11.031,11.274
Pancreas,2000,Montana,0.899,10.365,11.535
Pancreas,2000,Nebraska,1.062 (Unreliable),10.906,10.27
Pancreas,2000,Nevada,0.922,10.241,11.108
Pancreas,2000,New Hampshire,0.894,11.855,13.266
Pancreas,2000,New Jersey,0.897,11.282,12.574
Pancreas,2000,New Mexico,0.987,10.757,10.902
Pancreas,2000,New York,0.845,10.939,12.947
Pancreas,2000,North Carolina,1.041 (Unreliable),10.656,10.237
Pancreas,2000,North Dakota,0.993,10.063,10.131
Pancreas,2000,Ohio,0.99,10.334,10.437
Pancreas,2000,Oklahoma,0.897,9.702,10.815
Pancreas,2000,Oregon,1.000 (Unreliable),9.89,9.885
Pancreas,2000,Pennsylvania,0.962,10.792,11.223
Pancreas,2000,Rhode Island,0.966,12.083,12.51
Pancreas,2000,South Carolina,1.006 (Unreliable),11.279,11.215
Pancreas,2000,Tennessee,1.246 (Unreliable),10.735,8.615
Pancreas,2000,Texas,0.93,10.301,11.073
Pancreas,2000,Utah,1.079 (Unreliable),8.895,8.247
Pancreas,2000,Vermont,1.225 (Unreliable),11.947,9.751
Pancreas,2000,Virginia,1.326 (Unreliable),10.943,8.25
Pancreas,2000,Washington,0.896,10.831,12.093
Pancreas,2000,West Virginia,1.015 (Unreliable),10.031,9.887
Pancreas,2000,Wisconsin,0.972,10.384,10.687
Pancreas,2000,Wyoming,0.965,8.266,8.565
Pancreas,2001,Alabama,1.036 (Unreliable),11.264,10.869
Pancreas,2001,Alaska,1.077 (Unreliable),11.043,10.251
Pancreas,2001,Arizona,0.997,10.13,10.158
Pancreas,2001,Arkansas,1.038 (Unreliable),9.86,9.498
Pancreas,2001,California,0.942,10.254,10.886
Pancreas,2001,Colorado,0.892,9.704,10.875
Pancreas,2001,Connecticut,0.943,10.467,11.104
Pancreas,2001,Delaware,1.062 (Unreliable),13.351,12.57
Pancreas,2001,District of Columbia,0.904,12.434,13.756
Pancreas,2001,Florida,0.901,10.311,11.439
Pancreas,2001,Georgia,0.947,10.425,11.013
Pancreas,2001,Hawaii,0.831,10.409,12.519
Pancreas,2001,Idaho,0.994,10.077,10.134
Pancreas,2001,Illinois,0.912,11.394,12.498
Pancreas,2001,Indiana,0.973,10.632,10.933
Pancreas,2001,Iowa,0.89,10.236,11.502
Pancreas,2001,Kansas,1.183 (Unreliable),10.119,8.553
Pancreas,2001,Kentucky,0.96,9.771,10.177
Pancreas,2001,Louisiana,0.941,11.539,12.264
Pancreas,2001,Maine,0.955,10.894,11.408
Pancreas,2001,Maryland,1.079 (Unreliable),11.205,10.383
Pancreas,2001,Massachusetts,0.936,11.073,11.828
Pancreas,2001,Michigan,0.9,10.629,11.805
Pancreas,2001,Minnesota,1.141 (Unreliable),9.923,8.7
Pancreas,2001,Missouri,0.931,10.308,11.076
Pancreas,2001,Montana,1.011 (Unreliable),10.133,10.025
Pancreas,2001,Nebraska,1.038 (Unreliable),9.406,9.06
Pancreas,2001,Nevada,0.862,9.833,11.403
Pancreas,2001,New Hampshire,1.157 (Unreliable),11.252,9.728
Pancreas,2001,New Jersey,0.934,11.389,12.195
Pancreas,2001,New Mexico,0.898,8.587,9.56
Pancreas,2001,New York,0.881,11.215,12.723
Pancreas,2001,North Carolina,0.999,10.856,10.865
Pancreas,2001,North Dakota,1.128 (Unreliable),10.946,9.7
Pancreas,2001,Ohio,0.946,10.144,10.729
Pancreas,2001,Oklahoma,0.932,10.051,10.783
Pancreas,2001,Oregon,1.008 (Unreliable),10.931,10.847
Pancreas,2001,Pennsylvania,0.924,10.666,11.542
Pancreas,2001,Rhode Island,1.017 (Unreliable),12.016,11.816
Pancreas,2001,South Carolina,0.976,11.44,11.72
Pancreas,2001,South Dakota,0.982,11.795,12.01
Pancreas,2001,Tennessee,1.345 (Unreliable),10.62,7.897
Pancreas,2001,Texas,0.911,10.335,11.345
Pancreas,2001,Utah,0.859,7.815,9.1
Pancreas,2001,Vermont,0.74,6.973,9.421
Pancreas,2001,Virginia,1.407 (Unreliable),9.969,7.083
Pancreas,2001,Washington,0.925,11.675,12.622
Pancreas,2001,West Virginia,0.814,8.476,10.412
Pancreas,2001,Wisconsin,0.905,11.079,12.246
Pancreas,2001,Wyoming,0.87,10.947,12.583
Pancreas,2002,Alabama,1.044 (Unreliable),10.485,10.045
Pancreas,2002,Alaska,0.857,10.067,11.74
Pancreas,2002,Arizona,0.894,8.93,9.987
Pancreas,2002,Arkansas,1.007 (Unreliable),10.697,10.619
Pancreas,2002,California,0.902,10.236,11.35
Pancreas,2002,Colorado,0.991,10.813,10.91
Pancreas,2002,Connecticut,0.884,11.254,12.729
Pancreas,2002,Delaware,1.074 (Unreliable),9.506,8.851
Pancreas,2002,District of Columbia,0.926,13.036,14.085
Pancreas,2002,Florida,0.906,9.42,10.4
Pancreas,2002,Georgia,0.944,10.653,11.283
Pancreas,2002,Hawaii,0.934,10.145,10.861
Pancreas,2002,Idaho,0.821,9.829,11.967
Pancreas,2002,Illinois,0.924,11.422,12.365
Pancreas,2002,Indiana,0.984,11.085,11.26
Pancreas,2002,Iowa,1.015 (Unreliable),10.723,10.564
Pancreas,2002,Kansas,0.926,9.156,9.883
Pancreas,2002,Kentucky,0.964,10.616,11.013
Pancreas,2002,Louisiana,0.932,12.289,13.192
Pancreas,2002,Maine,0.873,11.215,12.852
Pancreas,2002,Maryland,0.915,10.7,11.693
Pancreas,2002,Massachusetts,0.948,11.572,12.208
Pancreas,2002,Michigan,0.926,10.919,11.794
Pancreas,2002,Minnesota,1.232 (Unreliable),10.634,8.633
Pancreas,2002,Missouri,0.981,10.459,10.66
Pancreas,2002,Montana,1.113 (Unreliable),8.827,7.929
Pancreas,2002,Nebraska,0.892,9.414,10.55
Pancreas,2002,Nevada,0.924,11.624,12.585
Pancreas,2002,New Hampshire,0.876,9.908,11.312
Pancreas,2002,New Jersey,0.933,11.316,12.129
Pancreas,2002,New Mexico,0.916,10.049,10.976
Pancreas,2002,New York,0.863,11,12.743
Pancreas,2002,North Carolina,1.063 (Unreliable),10.82,10.174
Pancreas,2002,North Dakota,0.875,9.166,10.473
Pancreas,2002,Ohio,0.976,10.411,10.67
Pancreas,2002,Oklahoma,0.937,9.741,10.395
Pancreas,2002,Oregon,0.996,10.999,11.04
Pancreas,2002,Pennsylvania,0.918,10.741,11.705
Pancreas,2002,Rhode Island,0.877,10.013,11.415
Pancreas,2002,South Carolina,1.011 (Unreliable),11.402,11.278
Pancreas,2002,South Dakota,1.072 (Unreliable),10.198,9.51
Pancreas,2002,Tennessee,1.316 (Unreliable),11.225,8.53
Pancreas,2002,Texas,0.916,10.197,11.129
Pancreas,2002,Utah,0.988,9.843,9.96
Pancreas,2002,Vermont,0.823,8.521,10.355
Pancreas,2002,Virginia,1.174 (Unreliable),10.091,8.596
Pancreas,2002,Washington,0.934,10.699,11.459
Pancreas,2002,West Virginia,1.028 (Unreliable),9.531,9.268
Pancreas,2002,Wisconsin,0.989,11.576,11.705
Pancreas,2002,Wyoming,1.163 (Unreliable),8.69,7.47
Pancreas,2003,Alabama,1.059 (Unreliable),10.577,9.99
Pancreas,2003,Alaska,0.945,10.949,11.585
Pancreas,2003,Arizona,0.882,8.709,9.877
Pancreas,2003,Arkansas,1.068 (Unreliable),10.185,9.535
Pancreas,2003,California,0.945,10.192,10.789
Pancreas,2003,Colorado,0.922,9.619,10.434
Pancreas,2003,Connecticut,0.859,11.048,12.868
Pancreas,2003,Delaware,0.876,9.258,10.571
Pancreas,2003,District of Columbia,1.104 (Unreliable),13.943,12.628
Pancreas,2003,Florida,0.87,10.226,11.751
Pancreas,2003,Georgia,0.984,10.717,10.89
Pancreas,2003,Hawaii,0.825,10.301,12.483
Pancreas,2003,Idaho,0.853,10.019,11.747
Pancreas,2003,Illinois,0.869,10.798,12.431
Pancreas,2003,Indiana,0.905,11.198,12.378
Pancreas,2003,Iowa,0.868,10.156,11.706
Pancreas,2003,Kansas,1.062 (Unreliable),10.796,10.17
Pancreas,2003,Kentucky,0.912,11.066,12.136
Pancreas,2003,Louisiana,0.964,12.093,12.54
Pancreas,2003,Maine,0.998,11.217,11.235
Pancreas,2003,Maryland,0.958,11.863,12.38
Pancreas,2003,Massachusetts,0.949,11.571,12.189
Pancreas,2003,Michigan,0.865,10.816,12.503
Pancreas,2003,Minnesota,0.997,9.999,10.034
Pancreas,2003,Mississippi,0.984,11.907,12.096
Pancreas,2003,Missouri,0.894,10.623,11.878
Pancreas,2003,Montana,0.811,8.915,10.986
Pancreas,2003,Nebraska,0.917,9.235,10.076
Pancreas,2003,Nevada,0.957,10.639,11.112
Pancreas,2003,New Hampshire,0.976,10.574,10.836
Pancreas,2003,New Jersey,0.905,11.031,12.186
Pancreas,2003,New Mexico,0.932,9.287,9.967
Pancreas,2003,New York,0.836,10.84,12.97
Pancreas,2003,North Carolina,0.986,10.744,10.897
Pancreas,2003,North Dakota,1.016 (Unreliable),10.247,10.087
Pancreas,2003,Ohio,0.985,10.716,10.878
Pancreas,2003,Oklahoma,0.861,9.778,11.352
Pancreas,2003,Oregon,0.893,10.271,11.5
Pancreas,2003,Pennsylvania,0.909,10.848,11.937
Pancreas,2003,Rhode Island,0.909,11.134,12.242
Pancreas,2003,South Carolina,0.934,10.222,10.939
Pancreas,2003,South Dakota,0.915,10.756,11.754
Pancreas,2003,Tennessee,0.991,10.707,10.809
Pancreas,2003,Texas,0.875,9.967,11.391
Pancreas,2003,Utah,0.911,9.037,9.916
Pancreas,2003,Vermont,1.096 (Unreliable),8.953,8.168
Pancreas,2003,Virginia,0.999,11.26,11.273
Pancreas,2003,Washington,0.931,10.992,11.81
Pancreas,2003,West Virginia,0.921,8.713,9.459
Pancreas,2003,Wisconsin,0.941,10.906,11.595
Pancreas,2003,Wyoming,0.956,10.648,11.135
Pancreas,2004,Alabama,0.952,10.357,10.878
Pancreas,2004,Alaska,0.832,10.573,12.704
Pancreas,2004,Arizona,1.010 (Unreliable),9.651,9.56
Pancreas,2004,Arkansas,1.021 (Unreliable),10.229,10.018
Pancreas,2004,California,0.91,10.239,11.248
Pancreas,2004,Colorado,0.876,9.604,10.961
Pancreas,2004,Connecticut,0.879,11.674,13.278
Pancreas,2004,Delaware,0.807,9.959,12.343
Pancreas,2004,District of Columbia,0.884,11.266,12.75
Pancreas,2004,Florida,0.885,9.882,11.172
Pancreas,2004,Georgia,0.944,10.788,11.423
Pancreas,2004,Hawaii,1.000 (Unreliable),12.022,12.022
Pancreas,2004,Idaho,0.905,11.498,12.71
Pancreas,2004,Illinois,0.892,11.432,12.815
Pancreas,2004,Indiana,0.977,11.143,11.403
Pancreas,2004,Iowa,0.876,10.517,12.001
Pancreas,2004,Kansas,1.149 (Unreliable),11.004,9.576
Pancreas,2004,Kentucky,0.944,10.231,10.837
Pancreas,2004,Louisiana,0.897,12.041,13.428
Pancreas,2004,Maine,0.879,11.506,13.089
Pancreas,2004,Maryland,0.943,11.33,12.02
Pancreas,2004,Massachusetts,0.977,11.277,11.545
Pancreas,2004,Michigan,0.88,10.799,12.275
Pancreas,2004,Minnesota,1.070 (Unreliable),9.944,9.297
Pancreas,2004,Mississippi,1.021 (Unreliable),10.811,10.589
Pancreas,2004,Missouri,0.924,10.437,11.293
Pancreas,2004,Montana,0.933,10.845,11.621
Pancreas,2004,Nebraska,0.941,9.299,9.883
Pancreas,2004,Nevada,0.904,10.269,11.355
Pancreas,2004,New Hampshire,0.992,11.728,11.823
Pancreas,2004,New Jersey,0.885,11.402,12.877
Pancreas,2004,New Mexico,1.027 (Unreliable),10.109,9.847
Pancreas,2004,New York,0.872,11.143,12.776
Pancreas,2004,North Carolina,0.935,10.925,11.679
Pancreas,2004,North Dakota,0.815,9.877,12.115
Pancreas,2004,Ohio,0.981,10.896,11.107
Pancreas,2004,Oklahoma,0.895,9.976,11.145
Pancreas,2004,Oregon,1.011 (Unreliable),11.205,11.086
Pancreas,2004,Pennsylvania,0.892,11.362,12.738
Pancreas,2004,Rhode Island,0.877,10.799,12.314
Pancreas,2004,South Carolina,0.963,10.938,11.361
Pancreas,2004,South Dakota,0.958,11.606,12.113
Pancreas,2004,Tennessee,1.102 (Unreliable),11.205,10.163
Pancreas,2004,Texas,0.886,10.167,11.479
Pancreas,2004,Utah,0.93,9.383,10.091
Pancreas,2004,Vermont,0.787,10.371,13.175
Pancreas,2004,Virginia,0.946,10.633,11.24
Pancreas,2004,Washington,0.978,11.425,11.676
Pancreas,2004,West Virginia,0.981,10.888,11.097
Pancreas,2004,Wisconsin,0.992,10.853,10.944
Pancreas,2004,Wyoming,1.151 (Unreliable),10.53,9.147
Pancreas,2005,Alabama,0.953,10.575,11.098
Pancreas,2005,Alaska,0.814,9.319,11.452
Pancreas,2005,Arizona,0.947,9.735,10.284
Pancreas,2005,Arkansas,1.078 (Unreliable),11.552,10.711
Pancreas,2005,California,0.904,10.685,11.819
Pancreas,2005,Colorado,0.918,9.856,10.737
Pancreas,2005,Connecticut,0.842,11.987,14.231
Pancreas,2005,Delaware,0.859,10.725,12.488
Pancreas,2005,District of Columbia,1.074 (Unreliable),12.321,11.474
Pancreas,2005,Florida,0.872,10.261,11.772
Pancreas,2005,Georgia,0.938,10.792,11.51
Pancreas,2005,Hawaii,0.852,10.4,12.206
Pancreas,2005,Idaho,0.993,12.125,12.207
Pancreas,2005,Illinois,0.884,11.696,13.224
Pancreas,2005,Indiana,0.973,11.029,11.335
Pancreas,2005,Iowa,0.961,10.106,10.519
Pancreas,2005,Kansas,1.135 (Unreliable),10.961,9.655
Pancreas,2005,Kentucky,0.942,10.633,11.294
Pancreas,2005,Louisiana,0.965,12.509,12.961
Pancreas,2005,Maine,0.888,12.38,13.947
Pancreas,2005,Maryland,0.919,11.804,12.843
Pancreas,2005,Massachusetts,0.957,11.731,12.263
Pancreas,2005,Michigan,0.925,11.062,11.963
Pancreas,2005,Minnesota,1.051 (Unreliable),10.729,10.204
Pancreas,2005,Mississippi,0.944,10.76,11.402
Pancreas,2005,Missouri,0.932,11.287,12.112
Pancreas,2005,Montana,0.918,10.737,11.698
Pancreas,2005,Nebraska,0.784,9.013,11.495
Pancreas,2005,Nevada,1.011 (Unreliable),10.662,10.549
Pancreas,2005,New Hampshire,0.869,11.76,13.532
Pancreas,2005,New Jersey,0.872,10.705,12.276
Pancreas,2005,New Mexico,0.976,11.537,11.823
Pancreas,2005,New York,0.866,10.993,12.7
Pancreas,2005,North Carolina,0.939,10.976,11.696
Pancreas,2005,North Dakota,1.004 (Unreliable),9.882,9.847
Pancreas,2005,Ohio,0.948,10.737,11.33
Pancreas,2005,Oklahoma,0.936,10.37,11.084
Pancreas,2005,Oregon,0.981,10.932,11.141
Pancreas,2005,Pennsylvania,0.916,11.288,12.326
Pancreas,2005,Rhode Island,0.966,9.055,9.373
Pancreas,2005,South Carolina,0.914,10.821,11.843
Pancreas,2005,South Dakota,1.006 (Unreliable),10.106,10.049
Pancreas,2005,Tennessee,1.073 (Unreliable),11.212,10.449
Pancreas,2005,Texas,0.881,10.274,11.666
Pancreas,2005,Utah,0.911,9.106,9.992
Pancreas,2005,Vermont,0.963,10.968,11.393
Pancreas,2005,Virginia,0.954,11.725,12.292
Pancreas,2005,Washington,0.888,10.539,11.874
Pancreas,2005,West Virginia,0.822,7.963,9.693
Pancreas,2005,Wisconsin,0.954,10.832,11.359
Pancreas,2005,Wyoming,1.308 (Unreliable),12.224,9.348
Pancreas,2006,Alabama,0.987,11.168,11.309
Pancreas,2006,Alaska,0.966,11.757,12.17
Pancreas,2006,Arizona,0.887,9.303,10.491
Pancreas,2006,Arkansas,0.973,11.116,11.419
Pancreas,2006,California,0.884,10.347,11.704
Pancreas,2006,Colorado,0.919,9.66,10.51
Pancreas,2006,Connecticut,0.912,11.984,13.142
Pancreas,2006,Delaware,0.897,11.103,12.373
Pancreas,2006,District of Columbia,0.901,12.33,13.681
Pancreas,2006,Florida,0.863,10.231,11.85
Pancreas,2006,Georgia,0.922,10.234,11.103
Pancreas,2006,Hawaii,0.815,10.298,12.639
Pancreas,2006,Idaho,0.86,10.733,12.474
Pancreas,2006,Illinois,0.914,11.475,12.558
Pancreas,2006,Indiana,0.931,11.065,11.883
Pancreas,2006,Iowa,0.879,10.205,11.615
Pancreas,2006,Kansas,1.103 (Unreliable),11.334,10.278
Pancreas,2006,Kentucky,0.907,11.064,12.193
Pancreas,2006,Louisiana,0.876,11.975,13.676
Pancreas,2006,Maine,0.897,10.576,11.797
Pancreas,2006,Maryland,0.951,11.634,12.238
Pancreas,2006,Massachusetts,0.841,11.371,13.516
Pancreas,2006,Michigan,0.866,11.731,13.541
Pancreas,2006,Minnesota,1.045 (Unreliable),10.622,10.165
Pancreas,2006,Mississippi,1.066 (Unreliable),12.866,12.068
Pancreas,2006,Missouri,0.896,11.263,12.567
Pancreas,2006,Montana,0.964,11.836,12.28
Pancreas,2006,Nebraska,0.952,11.413,11.991
Pancreas,2006,Nevada,0.844,10.931,12.953
Pancreas,2006,New Hampshire,0.937,12.231,13.054
Pancreas,2006,New Jersey,0.899,11.426,12.713
Pancreas,2006,New Mexico,0.915,9.905,10.819
Pancreas,2006,New York,0.831,10.961,13.191
Pancreas,2006,North Carolina,0.929,11.193,12.052
Pancreas,2006,North Dakota,0.985,12.216,12.408
Pancreas,2006,Ohio,0.924,11.178,12.099
Pancreas,2006,Oklahoma,0.964,10.047,10.426
Pancreas,2006,Oregon,1.008 (Unreliable),11.507,11.42
Pancreas,2006,Pennsylvania,0.937,11.867,12.671
Pancreas,2006,Rhode Island,0.915,10.345,11.311
Pancreas,2006,South Carolina,0.853,10.807,12.662
Pancreas,2006,South Dakota,1.062 (Unreliable),9.72,9.152
Pancreas,2006,Tennessee,0.958,10.424,10.88
Pancreas,2006,Texas,0.933,10.098,10.818
Pancreas,2006,Utah,0.927,9.842,10.622
Pancreas,2006,Vermont,0.758,8.204,10.822
Pancreas,2006,Virginia,0.968,11.304,11.673
Pancreas,2006,Washington,0.852,10.397,12.208
Pancreas,2006,West Virginia,0.828,9,10.869
Pancreas,2006,Wisconsin,0.947,11.292,11.922
Pancreas,2006,Wyoming,1.015 (Unreliable),11.957,11.777
Pancreas,2007,Alabama,1.016 (Unreliable),11.644,11.461
Pancreas,2007,Alaska,0.824,10.338,12.547
Pancreas,2007,Arizona,0.914,10.027,10.964
Pancreas,2007,Arkansas,1.005 (Unreliable),11.315,11.261
Pancreas,2007,California,0.912,10.514,11.532
Pancreas,2007,Colorado,0.907,10.296,11.354
Pancreas,2007,Connecticut,0.829,11.512,13.889
Pancreas,2007,Delaware,0.889,10.508,11.816
Pancreas,2007,District of Columbia,1.098 (Unreliable),15.036,13.691
Pancreas,2007,Florida,0.886,10.077,11.374
Pancreas,2007,Georgia,0.87,11.099,12.76
Pancreas,2007,Hawaii,0.783,10.381,13.259
Pancreas,2007,Idaho,0.91,10.44,11.474
Pancreas,2007,Illinois,0.859,11.028,12.838
Pancreas,2007,Indiana,0.925,10.881,11.768
Pancreas,2007,Iowa,0.846,9.438,11.156
Pancreas,2007,Kansas,1.078 (Unreliable),9.939,9.219
Pancreas,2007,Kentucky,0.9,11.029,12.259
Pancreas,2007,Louisiana,0.957,11.759,12.286
Pancreas,2007,Maine,0.931,10.322,11.084
Pancreas,2007,Maryland,0.859,11.273,13.119
Pancreas,2007,Massachusetts,0.964,12.072,12.523
Pancreas,2007,Michigan,0.915,12.192,13.329
Pancreas,2007,Minnesota,1.019 (Unreliable),10.084,9.893
Pancreas,2007,Mississippi,0.941,11.18,11.877
Pancreas,2007,Missouri,0.903,11.51,12.753
Pancreas,2007,Montana,0.912,9.35,10.248
Pancreas,2007,Nebraska,0.958,10.567,11.028
