Leading Cancer Sites,Year,Region,Race,Mortality-Incidence Age-Adjusted Rate Ratio,"Mortality Age-Adjusted Rate (per 100,000)","Incidence Age-Adjusted Rate (per 100,000)"
Prostate,2004,West,White,0.162,25.237,155.589
Prostate,2005,Northeast,Asian or Pacific Islander,0.109,8.083,74.26
Prostate,2005,Northeast,Black or African American,0.194,47.525,244.435
Prostate,2005,Northeast,White,0.151,22.927,151.81
Prostate,2005,Midwest,Asian or Pacific Islander,0.082,6.175,74.995
Prostate,2005,Midwest,Black or African American,0.243,55.07,226.164
Prostate,2005,Midwest,White,0.164,23.744,144.68
Prostate,2005,South,American Indian or Alaska Native,0.19,21.219,111.623
Prostate,2005,South,Asian or Pacific Islander,0.149,9.505,63.724
Prostate,2005,South,Black or African American,0.26,61.487,236.047
Prostate,2005,South,White,0.162,22.228,137.133
Prostate,2005,West,American Indian or Alaska Native,0.307,24.284,79.022
Prostate,2005,West,Asian or Pacific Islander,0.142,12.826,90.391
Prostate,2005,West,Black or African American,0.261,56.294,216.006
Prostate,2005,West,White,0.174,25.07,144.301
Prostate,2006,Northeast,Asian or Pacific Islander,0.095,7.097,74.871
Prostate,2006,Northeast,Black or African American,0.18,46.334,257.033
Prostate,2006,Northeast,White,0.129,21.737,168.093
Prostate,2006,Midwest,American Indian or Alaska Native,0.169,18.744,111.075
Prostate,2006,Midwest,Asian or Pacific Islander,0.104,8.177,78.379
Prostate,2006,Midwest,Black or African American,0.236,54.324,230.339
Prostate,2006,Midwest,White,0.148,22.433,151.113
Prostate,2006,South,American Indian or Alaska Native,0.171,17.417,102.149
Prostate,2006,South,Asian or Pacific Islander,0.131,9.453,71.949
Prostate,2006,South,Black or African American,0.246,58.446,237.871
Prostate,2006,South,White,0.149,21.711,145.867
Prostate,2006,West,American Indian or Alaska Native,0.201,17.383,86.47
Prostate,2006,West,Asian or Pacific Islander,0.124,11.639,93.834
Prostate,2006,West,Black or African American,0.19,40.867,215.558
Prostate,2006,West,White,0.156,23.918,153.375
Prostate,2007,Northeast,Asian or Pacific Islander,0.102,8.034,79.146
Prostate,2007,Northeast,Black or African American,0.185,49.036,264.959
Prostate,2007,Northeast,White,0.129,21.75,168.867
Prostate,2007,Midwest,American Indian or Alaska Native,0.196,22.98,117.103
Prostate,2007,Midwest,Asian or Pacific Islander,0.167,11.688,70.037
Prostate,2007,Midwest,Black or African American,0.22,52.03,236.509
Prostate,2007,Midwest,White,0.148,22.974,155.03
Prostate,2007,South,American Indian or Alaska Native,0.111,12.642,114.327
Prostate,2007,South,Asian or Pacific Islander,0.118,8.887,75.155
Prostate,2007,South,Black or African American,0.24,59.378,247.387
Prostate,2007,South,White,0.138,20.934,152.235
Prostate,2007,West,American Indian or Alaska Native,0.227,18.954,83.426
Prostate,2007,West,Asian or Pacific Islander,0.131,12.538,95.922
Prostate,2007,West,Black or African American,0.21,47.121,223.97
Prostate,2007,West,White,0.155,23.975,154.815
Prostate,2008,Northeast,Asian or Pacific Islander,0.09,6.828,75.921
Prostate,2008,Northeast,Black or African American,0.183,45.003,245.694
Prostate,2008,Northeast,White,0.135,20.898,154.912
Prostate,2008,Midwest,Asian or Pacific Islander,0.1,6.726,67.397
Prostate,2008,Midwest,Black or African American,0.202,45.564,225.717
Prostate,2008,Midwest,White,0.153,22.096,144.01
Prostate,2008,South,American Indian or Alaska Native,0.206,20.347,98.751
Prostate,2008,South,Asian or Pacific Islander,0.108,7.482,69.141
Prostate,2008,South,Black or African American,0.22,52.12,236.82
Prostate,2008,South,White,0.143,20.004,139.495
Prostate,2008,West,American Indian or Alaska Native,0.269,21.487,79.731
Prostate,2008,West,Asian or Pacific Islander,0.137,11.442,83.672
Prostate,2008,West,Black or African American,0.226,47.448,209.648
Prostate,2008,West,White,0.163,23.115,141.506
Prostate,2009,Northeast,Asian or Pacific Islander,0.111,7.922,71.265
Prostate,2009,Northeast,Black or African American,0.19,45.759,241.243
Prostate,2009,Northeast,White,0.133,19.437,145.705
Prostate,2009,Midwest,American Indian or Alaska Native,0.238,23.169,97.149
Prostate,2009,Midwest,Asian or Pacific Islander,0.143,10.763,75.164
Prostate,2009,Midwest,Black or African American,0.201,44.789,222.478
Prostate,2009,Midwest,White,0.153,20.755,135.233
Prostate,2009,South,American Indian or Alaska Native,0.169,17.081,100.882
Prostate,2009,South,Asian or Pacific Islander,0.153,10.075,65.799
Prostate,2009,South,Black or African American,0.223,52.283,234.167
Prostate,2009,South,White,0.148,19.116,129.557
Prostate,2009,West,American Indian or Alaska Native,0.191,14.412,75.399
Prostate,2009,West,Asian or Pacific Islander,0.124,10.179,81.849
Prostate,2009,West,Black or African American,0.242,49.378,204.264
Prostate,2009,West,White,0.17,22.687,133.546
Prostate,2010,Northeast,Asian or Pacific Islander,0.132,8.159,61.917
Prostate,2010,Northeast,Black or African American,0.203,46.525,229.106
Prostate,2010,Northeast,White,0.145,19.709,136.361
Prostate,2010,Midwest,Asian or Pacific Islander,0.15,9.419,62.725
Prostate,2010,Midwest,Black or African American,0.229,47.403,206.888
Prostate,2010,Midwest,White,0.163,20.379,125.201
Prostate,2010,South,American Indian or Alaska Native,0.139,13.387,96.013
Prostate,2010,South,Asian or Pacific Islander,0.119,7.216,60.589
Prostate,2010,South,Black or African American,0.232,49.846,215.307
Prostate,2010,South,White,0.157,18.983,120.812
Prostate,2010,West,American Indian or Alaska Native,0.227,16.926,74.474
Prostate,2010,West,Asian or Pacific Islander,0.136,10.392,76.41
Prostate,2010,West,Black or African American,0.223,42.962,192.777
Prostate,2010,West,White,0.173,21.964,126.652
Prostate,2011,Northeast,Asian or Pacific Islander,0.112,8.19,73.379
Prostate,2011,Northeast,Black or African American,0.177,41.534,234.631
Prostate,2011,Northeast,White,0.137,18.983,138.961
Prostate,2011,Midwest,Asian or Pacific Islander,0.142,9.541,67.065
Prostate,2011,Midwest,Black or African American,0.199,40.866,205.167
Prostate,2011,Midwest,White,0.154,19.73,127.761
Prostate,2011,South,American Indian or Alaska Native,0.214,17.809,83.119
Prostate,2011,South,Asian or Pacific Islander,0.141,8.4,59.692
Prostate,2011,South,Black or African American,0.219,46.203,211.195
Prostate,2011,South,White,0.15,17.938,119.328
Prostate,2011,West,American Indian or Alaska Native,0.288,18.129,62.946
Prostate,2011,West,Asian or Pacific Islander,0.135,10.273,76.3
Prostate,2011,West,Black or African American,0.233,42.414,181.697
Prostate,2011,West,White,0.174,21.13,121.328
Prostate,2012,Northeast,Asian or Pacific Islander,0.098,5.675,57.904
Prostate,2012,Northeast,Black or African American,0.21,41.656,198.007
Prostate,2012,Northeast,White,0.156,17.379,111.639
Prostate,2012,Midwest,American Indian or Alaska Native,0.125,11.893,94.999
Prostate,2012,Midwest,Asian or Pacific Islander,0.133,7.559,56.841
Prostate,2012,Midwest,Black or African American,0.229,39.809,174.187
Prostate,2012,Midwest,White,0.181,18.671,103.312
Prostate,2012,South,American Indian or Alaska Native,0.141,10.23,72.389
Prostate,2012,South,Asian or Pacific Islander,0.163,8.061,49.465
Prostate,2012,South,Black or African American,0.227,41.938,185.044
Prostate,2012,South,White,0.172,17.166,99.592
Prostate,2012,West,American Indian or Alaska Native,0.357,19.053,53.428
Prostate,2012,West,Asian or Pacific Islander,0.155,9.39,60.449
Prostate,2012,West,Black or African American,0.269,43.262,160.879
Prostate,2012,West,White,0.201,19.799,98.387
Prostate,2013,Northeast,Asian or Pacific Islander,0.095,5.699,60.252
Prostate,2013,Northeast,Black or African American,0.189,35.942,190.502
Prostate,2013,Northeast,White,0.167,17.672,105.954
Prostate,2013,Midwest,American Indian or Alaska Native,0.217,15.37,70.865
Prostate,2013,Midwest,Asian or Pacific Islander,0.196,10.385,52.881
Prostate,2013,Midwest,Black or African American,0.224,36.488,163.119
Prostate,2013,Midwest,White,0.186,18.097,97.036
Prostate,2013,South,American Indian or Alaska Native,0.196,14.757,75.439
Prostate,2013,South,Asian or Pacific Islander,0.128,6.168,48.294
Prostate,2013,South,Black or African American,0.232,41.008,176.623
Prostate,2013,South,White,0.178,16.898,94.809
Prostate,2013,West,American Indian or Alaska Native,0.278,14.774,53.081
Prostate,2013,West,Asian or Pacific Islander,0.176,10.007,56.785
Prostate,2013,West,Black or African American,0.262,39.802,151.767
Prostate,2013,West,White,0.21,19.989,95.128
Prostate,2014,Northeast,Asian or Pacific Islander,0.142,7.021,49.302
Prostate,2014,Northeast,Black or African American,0.208,36.32,174.891
Prostate,2014,Northeast,White,0.176,17.354,98.421
Prostate,2014,Midwest,American Indian or Alaska Native,0.285,20.033,70.287
Prostate,2014,Midwest,Asian or Pacific Islander,0.142,7.173,50.358
Prostate,2014,Midwest,Black or African American,0.241,38.109,158.073
Prostate,2014,Midwest,White,0.194,18.213,93.998
Prostate,2014,South,American Indian or Alaska Native,0.248,15.095,60.841
Prostate,2014,South,Asian or Pacific Islander,0.165,6.961,42.102
Prostate,2014,South,Black or African American,0.232,38.734,167.219
Prostate,2014,South,White,0.186,16.61,89.24
Prostate,2014,West,American Indian or Alaska Native,0.352,15.839,45.025
Prostate,2014,West,Asian or Pacific Islander,0.19,9.369,49.233
Prostate,2014,West,Black or African American,0.29,37.408,128.841
Prostate,2014,West,White,0.233,20.132,86.471
Prostate,2015,Northeast,Asian or Pacific Islander,0.106,6.177,58.161
Prostate,2015,Northeast,Black or African American,0.192,33.028,171.861
Prostate,2015,Northeast,White,0.163,16.899,103.882
Prostate,2015,Midwest,American Indian or Alaska Native,0.206,13.989,67.8
Prostate,2015,Midwest,Asian or Pacific Islander,0.183,8.817,48.306
Prostate,2015,Midwest,Black or African American,0.231,38.492,166.82
Prostate,2015,Midwest,White,0.186,18.227,98.033
Prostate,2015,South,American Indian or Alaska Native,0.203,12.903,63.564
Prostate,2015,South,Asian or Pacific Islander,0.164,8.148,49.656
Prostate,2015,South,Black or African American,0.229,38.896,169.94
Prostate,2015,South,White,0.181,16.422,90.961
Prostate,2015,West,American Indian or Alaska Native,0.373,16.513,44.268
Prostate,2015,West,Asian or Pacific Islander,0.192,10.051,52.349
Prostate,2015,West,Black or African American,0.291,36.854,126.517
Prostate,2015,West,White,0.232,20.027,86.453
Prostate,2016,Northeast,Asian or Pacific Islander,0.111,5.95,53.626
Prostate,2016,Northeast,Black or African American,0.197,34.889,177.104
Prostate,2016,Northeast,White,0.168,17.544,104.178
Prostate,2016,Midwest,American Indian or Alaska Native,0.236,15.396,65.163
Prostate,2016,Midwest,Asian or Pacific Islander,0.143,6.825,47.584
Prostate,2016,Midwest,Black or African American,0.254,39.257,154.721
Prostate,2016,Midwest,White,0.19,18.162,95.524
Prostate,2016,South,American Indian or Alaska Native,0.234,13.081,55.927
Prostate,2016,South,Asian or Pacific Islander,0.145,6.942,47.786
Prostate,2016,South,Black or African American,0.235,38.665,164.462
Prostate,2016,South,White,0.191,16.799,88.086
Prostate,2016,West,American Indian or Alaska Native,0.33,14.934,45.251
Prostate,2016,West,Asian or Pacific Islander,0.192,9.836,51.258
Prostate,2016,West,Black or African American,0.354,42.186,119.088
Prostate,2016,West,White,0.248,20.989,84.55
Stomach,1999,Northeast,Asian or Pacific Islander,0.566,8.502,15.016
Stomach,1999,Northeast,Black or African American,0.674,9.292,13.784
Stomach,1999,Northeast,White,0.581,4.881,8.406
Stomach,1999,Midwest,Asian or Pacific Islander,0.465,7.025,15.094
Stomach,1999,Midwest,Black or African American,0.714,8.803,12.322
Stomach,1999,Midwest,White,0.6,3.726,6.213
Stomach,1999,South,Asian or Pacific Islander,0.756,9.219,12.189
Stomach,1999,South,Black or African American,0.749,9.332,12.456
Stomach,1999,South,White,0.603,3.693,6.124
Stomach,1999,West,American Indian or Alaska Native,0.676,7.278,10.764
Stomach,1999,West,Asian or Pacific Islander,0.629,9.943,15.805
Stomach,1999,West,Black or African American,0.678,9.095,13.41
Stomach,1999,West,White,0.612,4.175,6.826
Stomach,2000,Northeast,Asian or Pacific Islander,0.481,7.191,14.942
Stomach,2000,Northeast,Black or African American,0.633,8.269,13.066
Stomach,2000,Northeast,White,0.589,4.817,8.174
Stomach,2000,Midwest,Asian or Pacific Islander,0.6,8.523,14.208
Stomach,2000,Midwest,Black or African American,0.716,8.801,12.291
Stomach,2000,Midwest,White,0.592,3.497,5.909
Stomach,2000,South,Asian or Pacific Islander,0.699,7.435,10.639
Stomach,2000,South,Black or African American,0.759,9.263,12.21
Stomach,2000,South,White,0.623,3.723,5.972
Stomach,2000,West,American Indian or Alaska Native,0.761,6.677,8.776
Stomach,2000,West,Asian or Pacific Islander,0.637,10.331,16.212
Stomach,2000,West,Black or African American,0.735,9.197,12.517
Stomach,2000,West,White,0.589,4.07,6.913
Stomach,2001,Northeast,Asian or Pacific Islander,0.468,7.639,16.337
Stomach,2001,Northeast,Black or African American,0.564,7.461,13.218
Stomach,2001,Northeast,White,0.56,4.555,8.134
Stomach,2001,Midwest,Asian or Pacific Islander,0.704,9.61,13.644
Stomach,2001,Midwest,Black or African American,0.604,7.431,12.294
Stomach,2001,Midwest,White,0.596,3.5,5.872
Stomach,2001,South,American Indian or Alaska Native,0.594,3.971,6.683
Stomach,2001,South,Asian or Pacific Islander,0.618,7.474,12.101
Stomach,2001,South,Black or African American,0.746,9.14,12.258
Stomach,2001,South,White,0.61,3.542,5.803
Stomach,2001,West,American Indian or Alaska Native,0.69,7.751,11.232
Stomach,2001,West,Asian or Pacific Islander,0.591,8.655,14.649
Stomach,2001,West,Black or African American,0.62,7.26,11.708
Stomach,2001,West,White,0.614,4.003,6.523
Stomach,2002,Northeast,Asian or Pacific Islander,0.468,7.114,15.208
Stomach,2002,Northeast,Black or African American,0.639,8.44,13.204
Stomach,2002,Northeast,White,0.558,4.326,7.756
Stomach,2002,Midwest,Asian or Pacific Islander,0.53,8.099,15.283
Stomach,2002,Midwest,Black or African American,0.667,8.538,12.797
Stomach,2002,Midwest,White,0.55,3.256,5.92
Stomach,2002,South,American Indian or Alaska Native,0.679,3.919,5.773
Stomach,2002,South,Asian or Pacific Islander,0.531,6.038,11.375
Stomach,2002,South,Black or African American,0.752,8.639,11.487
Stomach,2002,South,White,0.591,3.491,5.912
Stomach,2002,West,American Indian or Alaska Native,0.735,7.824,10.646
Stomach,2002,West,Asian or Pacific Islander,0.582,8.459,14.527
Stomach,2002,West,Black or African American,0.686,7.842,11.431
Stomach,2002,West,White,0.599,3.973,6.631
Stomach,2003,Northeast,Asian or Pacific Islander,0.498,8.491,17.068
Stomach,2003,Northeast,Black or African American,0.617,7.529,12.206
Stomach,2003,Northeast,White,0.531,4.169,7.856
Stomach,2003,Midwest,Asian or Pacific Islander,0.583,7.651,13.117
Stomach,2003,Midwest,Black or African American,0.657,7.716,11.739
Stomach,2003,Midwest,White,0.569,3.329,5.847
Stomach,2003,South,American Indian or Alaska Native,0.534,3.19,5.971
Stomach,2003,South,Asian or Pacific Islander,0.585,6.609,11.296
Stomach,2003,South,Black or African American,0.649,8.075,12.45
Stomach,2003,South,White,0.575,3.441,5.981
Stomach,2003,West,American Indian or Alaska Native,0.821,7.073,8.621
Stomach,2003,West,Asian or Pacific Islander,0.601,8.274,13.764
Stomach,2003,West,Black or African American,0.721,7.899,10.954
Stomach,2003,West,White,0.582,3.804,6.541
Stomach,2004,Northeast,Asian or Pacific Islander,0.535,8.16,15.26
Stomach,2004,Northeast,Black or African American,0.589,7.131,12.099
Stomach,2004,Northeast,White,0.529,4.113,7.782
Stomach,2004,Midwest,Asian or Pacific Islander,0.669,6.617,9.885
Stomach,2004,Midwest,Black or African American,0.703,7.805,11.109
Stomach,2004,Midwest,White,0.554,3.216,5.803
Stomach,2004,South,American Indian or Alaska Native,0.739,3.608,4.883
Stomach,2004,South,Asian or Pacific Islander,0.618,6.711,10.853
Stomach,2004,South,Black or African American,0.671,7.756,11.565
Stomach,2004,South,White,0.571,3.29,5.759
Stomach,2004,West,American Indian or Alaska Native,0.608,6.391,10.51
Stomach,2004,West,Asian or Pacific Islander,0.498,7.147,14.351
Stomach,2004,West,Black or African American,0.655,7.279,11.107
Stomach,2004,West,White,0.557,3.621,6.499
Stomach,2005,Northeast,Asian or Pacific Islander,0.475,6.794,14.303
Stomach,2005,Northeast,Black or African American,0.539,7.68,14.241
Stomach,2005,Northeast,White,0.525,3.822,7.286
Stomach,2005,Midwest,American Indian or Alaska Native,0.841,5.52,6.561
Stomach,2005,Midwest,Asian or Pacific Islander,0.488,5.585,11.433
Stomach,2005,Midwest,Black or African American,0.669,7.382,11.034
Stomach,2005,Midwest,White,0.525,2.946,5.615
Stomach,2005,South,American Indian or Alaska Native,0.393,3.18,8.088
Stomach,2005,South,Asian or Pacific Islander,0.688,6.792,9.877
Stomach,2005,South,Black or African American,0.633,7.149,11.288
Stomach,2005,South,White,0.557,3.147,5.651
Stomach,2005,West,American Indian or Alaska Native,0.541,5.052,9.339
Stomach,2005,West,Asian or Pacific Islander,0.579,8.047,13.896
Stomach,2005,West,Black or African American,0.652,7.262,11.143
Stomach,2005,West,White,0.578,3.563,6.168
Stomach,2006,Northeast,Asian or Pacific Islander,0.526,6.986,13.291
Stomach,2006,Northeast,Black or African American,0.546,6.881,12.6
Stomach,2006,Northeast,White,0.497,3.561,7.159
Stomach,2006,Midwest,Asian or Pacific Islander,0.461,5.574,12.081
Stomach,2006,Midwest,Black or African American,0.615,7.168,11.651
Stomach,2006,Midwest,White,0.532,2.91,5.466
Stomach,2006,South,American Indian or Alaska Native,0.465,3.306,7.108
Stomach,2006,South,Asian or Pacific Islander,0.614,6.804,11.081
Stomach,2006,South,Black or African American,0.601,6.893,11.474
Stomach,2006,South,White,0.545,3.052,5.6
Stomach,2006,West,American Indian or Alaska Native,0.676,5.827,8.621
Stomach,2006,West,Asian or Pacific Islander,0.627,7.514,11.983
Stomach,2006,West,Black or African American,0.618,6.455,10.446
Stomach,2006,West,White,0.56,3.531,6.302
Stomach,2007,Northeast,Asian or Pacific Islander,0.473,7.238,15.3
Stomach,2007,Northeast,Black or African American,0.577,6.928,12.013
Stomach,2007,Northeast,White,0.477,3.472,7.282
Stomach,2007,Midwest,Asian or Pacific Islander,0.52,6.268,12.062
Stomach,2007,Midwest,Black or African American,0.639,7.581,11.856
Stomach,2007,Midwest,White,0.509,2.849,5.597
Stomach,2007,South,American Indian or Alaska Native,0.412,2.476,6.003
Stomach,2007,South,Asian or Pacific Islander,0.526,5.449,10.369
Stomach,2007,South,Black or African American,0.619,6.846,11.066
Stomach,2007,South,White,0.553,3.062,5.54
Stomach,2007,West,American Indian or Alaska Native,0.681,5.454,8.002
Stomach,2007,West,Asian or Pacific Islander,0.564,7.156,12.689
Stomach,2007,West,Black or African American,0.611,6.219,10.182
Stomach,2007,West,White,0.561,3.4,6.065
Stomach,2008,Northeast,Asian or Pacific Islander,0.512,6.329,12.358
Stomach,2008,Northeast,Black or African American,0.56,6.384,11.409
Stomach,2008,Northeast,White,0.488,3.513,7.197
Stomach,2008,Midwest,Asian or Pacific Islander,0.498,5.341,10.716
Stomach,2008,Midwest,Black or African American,0.644,7.249,11.263
Stomach,2008,Midwest,White,0.522,2.78,5.33
Stomach,2008,South,Asian or Pacific Islander,0.687,7.03,10.24
Stomach,2008,South,Black or African American,0.625,6.987,11.181
Stomach,2008,South,White,0.536,2.949,5.501
Stomach,2008,West,American Indian or Alaska Native,0.585,4.322,7.392
Stomach,2008,West,Asian or Pacific Islander,0.571,6.76,11.848
Stomach,2008,West,Black or African American,0.668,6.875,10.287
Stomach,2008,West,White,0.54,3.169,5.871
Stomach,2009,Northeast,Asian or Pacific Islander,0.51,6.499,12.731
Stomach,2009,Northeast,Black or African American,0.526,6.168,11.729
Stomach,2009,Northeast,White,0.489,3.335,6.816
Stomach,2009,Midwest,Asian or Pacific Islander,0.652,5.81,8.916
Stomach,2009,Midwest,Black or African American,0.53,6.059,11.429
Stomach,2009,Midwest,White,0.52,2.791,5.367
Stomach,2009,South,Asian or Pacific Islander,0.641,6.089,9.492
Stomach,2009,South,Black or African American,0.627,6.77,10.795
Stomach,2009,South,White,0.503,2.751,5.469
Stomach,2009,West,American Indian or Alaska Native,0.857,5.952,6.944
Stomach,2009,West,Asian or Pacific Islander,0.515,6.594,12.804
Stomach,2009,West,Black or African American,0.545,5.34,9.796
Stomach,2009,West,White,0.524,3.245,6.189
Stomach,2010,Northeast,Asian or Pacific Islander,0.404,5.054,12.508
Stomach,2010,Northeast,Black or African American,0.511,5.892,11.52
Stomach,2010,Northeast,White,0.443,3.165,7.139
Stomach,2010,Midwest,Asian or Pacific Islander,0.579,6.292,10.877
Stomach,2010,Midwest,Black or African American,0.59,6.386,10.817
Stomach,2010,Midwest,White,0.457,2.628,5.754
Stomach,2010,South,American Indian or Alaska Native,0.553,2.705,4.892
Stomach,2010,South,Asian or Pacific Islander,0.571,6.03,10.552
Stomach,2010,South,Black or African American,0.597,6.515,10.913
Stomach,2010,South,White,0.511,2.929,5.734
Stomach,2010,West,American Indian or Alaska Native,0.539,4.735,8.785
Stomach,2010,West,Asian or Pacific Islander,0.57,6.33,11.1
Stomach,2010,West,Black or African American,0.637,6.08,9.537
Stomach,2010,West,White,0.534,3.308,6.189
Stomach,2011,Northeast,Asian or Pacific Islander,0.423,5.219,12.35
Stomach,2011,Northeast,Black or African American,0.484,5.418,11.187
Stomach,2011,Northeast,White,0.423,2.911,6.882
Stomach,2011,Midwest,Asian or Pacific Islander,0.493,5.036,10.21
Stomach,2011,Midwest,Black or African American,0.592,6.662,11.246
Stomach,2011,Midwest,White,0.448,2.584,5.762
Stomach,2011,South,American Indian or Alaska Native,0.424,2.1,4.954
Stomach,2011,South,Asian or Pacific Islander,0.542,5.082,9.375
Stomach,2011,South,Black or African American,0.582,6.183,10.627
Stomach,2011,South,White,0.493,2.787,5.656
Stomach,2011,West,American Indian or Alaska Native,0.627,4.163,6.635
Stomach,2011,West,Asian or Pacific Islander,0.585,5.886,10.062
Stomach,2011,West,Black or African American,0.635,6.051,9.529
Stomach,2011,West,White,0.498,3.105,6.237
Stomach,2012,Northeast,Asian or Pacific Islander,0.488,5.791,11.858
Stomach,2012,Northeast,Black or African American,0.494,5.464,11.059
Stomach,2012,Northeast,White,0.453,3.069,6.771
Stomach,2012,Midwest,Asian or Pacific Islander,0.512,5.481,10.713
Stomach,2012,Midwest,Black or African American,0.616,6.126,9.947
Stomach,2012,Midwest,White,0.433,2.456,5.675
Stomach,2012,South,American Indian or Alaska Native,0.542,2.604,4.801
Stomach,2012,South,Asian or Pacific Islander,0.491,4.564,9.296
Stomach,2012,South,Black or African American,0.572,6.043,10.57
Stomach,2012,South,White,0.481,2.701,5.613
Stomach,2012,West,American Indian or Alaska Native,0.661,5.059,7.649
Stomach,2012,West,Asian or Pacific Islander,0.545,5.923,10.868
Stomach,2012,West,Black or African American,0.6,5.738,9.563
Stomach,2012,West,White,0.491,3.045,6.2
Stomach,2013,Northeast,Asian or Pacific Islander,0.337,4.83,14.352
Stomach,2013,Northeast,Black or African American,0.507,5.468,10.784
Stomach,2013,Northeast,White,0.429,2.939,6.844
Stomach,2013,Midwest,Asian or Pacific Islander,0.409,3.886,9.508
Stomach,2013,Midwest,Black or African American,0.524,5.646,10.78
Stomach,2013,Midwest,White,0.428,2.444,5.705
Stomach,2013,South,American Indian or Alaska Native,0.41,2.717,6.62
Stomach,2013,South,Asian or Pacific Islander,0.509,4.769,9.376
Stomach,2013,South,Black or African American,0.584,5.815,9.957
Stomach,2013,South,White,0.507,2.808,5.535
Stomach,2013,West,American Indian or Alaska Native,0.531,4.584,8.635
Stomach,2013,West,Asian or Pacific Islander,0.519,5.499,10.596
Stomach,2013,West,Black or African American,0.559,4.809,8.605
Stomach,2013,West,White,0.503,3.009,5.978
Stomach,2014,Northeast,Asian or Pacific Islander,0.379,5.075,13.384
Stomach,2014,Northeast,Black or African American,0.514,5.443,10.582
Stomach,2014,Northeast,White,0.426,2.904,6.821
Stomach,2014,Midwest,Asian or Pacific Islander,0.504,4.916,9.751
Stomach,2014,Midwest,Black or African American,0.567,5.824,10.271
Stomach,2014,Midwest,White,0.439,2.372,5.409
Stomach,2014,South,American Indian or Alaska Native,0.612,3.104,5.071
Stomach,2014,South,Asian or Pacific Islander,0.413,3.907,9.451
Stomach,2014,South,Black or African American,0.567,5.563,9.803
Stomach,2014,South,White,0.469,2.682,5.717
Stomach,2014,West,American Indian or Alaska Native,0.698,5.068,7.263
Stomach,2014,West,Asian or Pacific Islander,0.564,5.634,9.991
Stomach,2014,West,Black or African American,0.506,4.349,8.589
Stomach,2014,West,White,0.505,3.064,6.066
Stomach,2015,Northeast,Asian or Pacific Islander,0.448,5.521,12.322
Stomach,2015,Northeast,Black or African American,0.426,4.64,10.881
Stomach,2015,Northeast,White,0.434,2.787,6.422
Stomach,2015,Midwest,Asian or Pacific Islander,0.468,4.504,9.615
Stomach,2015,Midwest,Black or African American,0.533,5.232,9.825
Stomach,2015,Midwest,White,0.455,2.522,5.546
Stomach,2015,South,American Indian or Alaska Native,0.384,2.17,5.657
Stomach,2015,South,Asian or Pacific Islander,0.647,5.177,7.999
Stomach,2015,South,Black or African American,0.597,5.664,9.489
Stomach,2015,South,White,0.467,2.622,5.615
Stomach,2015,West,American Indian or Alaska Native,0.564,3.467,6.15
Stomach,2015,West,Asian or Pacific Islander,0.542,4.963,9.151
Stomach,2015,West,Black or African American,0.726,5.892,8.112
Stomach,2015,West,White,0.497,2.894,5.819
Stomach,2016,Northeast,Asian or Pacific Islander,0.464,5.717,12.309
Stomach,2016,Northeast,Black or African American,0.505,5.367,10.633
Stomach,2016,Northeast,White,0.411,2.693,6.544
Stomach,2016,Midwest,American Indian or Alaska Native,0.615,4.189,6.806
Stomach,2016,Midwest,Asian or Pacific Islander,0.693,5.326,7.69
Stomach,2016,Midwest,Black or African American,0.536,5.373,10.031
Stomach,2016,Midwest,White,0.423,2.243,5.306
Stomach,2016,South,American Indian or Alaska Native,0.516,2.527,4.898
Stomach,2016,South,Asian or Pacific Islander,0.536,4.26,7.94
Stomach,2016,South,Black or African American,0.575,5.35,9.309
Stomach,2016,South,White,0.472,2.556,5.416
Stomach,2016,West,American Indian or Alaska Native,0.65,4.509,6.942
Stomach,2016,West,Asian or Pacific Islander,0.599,5.418,9.039
Stomach,2016,West,Black or African American,0.6,4.935,8.223
Stomach,2016,West,White,0.532,3.016,5.673
Thyroid,1999,Northeast,Black or African American,0.101,0.511,5.051
Thyroid,1999,Northeast,White,0.057,0.472,8.286
Thyroid,1999,Midwest,Black or African American,0.094,0.374,3.956
Thyroid,1999,Midwest,White,0.068,0.46,6.8
Thyroid,1999,South,Black or African American,0.111,0.436,3.92
Thyroid,1999,South,White,0.063,0.409,6.459
Thyroid,1999,West,Asian or Pacific Islander,0.093,0.766,8.271
Thyroid,1999,West,White,0.068,0.477,7.007
Thyroid,2000,Northeast,Black or African American,0.086,0.545,6.339
Thyroid,2000,Northeast,White,0.053,0.508,9.635
Thyroid,2000,Midwest,White,0.073,0.535,7.348
Thyroid,2000,South,Black or African American,0.114,0.516,4.526
Thyroid,2000,South,White,0.058,0.416,7.141
Thyroid,2000,West,Asian or Pacific Islander,0.088,0.717,8.175
Thyroid,2000,West,Black or African American,0.174,0.762,4.37
Thyroid,2000,West,White,0.058,0.415,7.195
Thyroid,2001,Northeast,Black or African American,0.089,0.553,6.194
Thyroid,2001,Northeast,White,0.048,0.497,10.277
Thyroid,2001,Midwest,Black or African American,0.095,0.434,4.592
Thyroid,2001,Midwest,White,0.062,0.461,7.496
Thyroid,2001,South,Black or African American,0.112,0.552,4.946
Thyroid,2001,South,White,0.065,0.47,7.223
Thyroid,2001,West,Asian or Pacific Islander,0.071,0.633,8.906
Thyroid,2001,West,White,0.059,0.486,8.174
Thyroid,2002,Northeast,Black or African American,0.073,0.448,6.132
